"Date","Amount","Charge","Utr","Status"
"07 May 2024 12:37:11","2000","10","412802903067","TRANSACTION_CREDIT"
"07 May 2024 12:37:07","100","0.5","412894204585","TRANSACTION_CREDIT"
"07 May 2024 12:36:38","5000","25","412878608536","TRANSACTION_CREDIT"
"07 May 2024 12:36:09","5000","25","412828443315","TRANSACTION_CREDIT"
"07 May 2024 12:35:46","3000","15","412858179736","TRANSACTION_CREDIT"
"07 May 2024 12:35:39","600","3","412883925310","TRANSACTION_CREDIT"
"07 May 2024 12:35:36","5500","27.5","412874402722","TRANSACTION_CREDIT"
"07 May 2024 12:35:01","500","2.5","412814973348","TRANSACTION_CREDIT"
"07 May 2024 12:34:28","10000","50","412819785440","TRANSACTION_CREDIT"
"07 May 2024 12:34:14","1001","5","412836688367","TRANSACTION_CREDIT"
"07 May 2024 12:32:31","600","3","412891996239","TRANSACTION_CREDIT"
"07 May 2024 12:31:54","4500","22.5","412868769263","TRANSACTION_CREDIT"
"07 May 2024 12:30:40","500","2.5","412828217649","TRANSACTION_CREDIT"
"07 May 2024 12:29:07","500","2.5","412834066007","TRANSACTION_CREDIT"
"07 May 2024 12:22:53","21000","105","449418493809","TRANSACTION_CREDIT"
"07 May 2024 12:22:33","500","2.5","412897750939","TRANSACTION_CREDIT"
"07 May 2024 12:20:18","10000","50","412833773888","TRANSACTION_CREDIT"
"07 May 2024 12:17:07","1500","7.5","412820041260","TRANSACTION_CREDIT"
"07 May 2024 12:16:37","500","2.5","412845694231","TRANSACTION_CREDIT"
"07 May 2024 12:16:28","10000","50","412800879570","TRANSACTION_CREDIT"
"07 May 2024 12:15:46","1000","5","412898785421","TRANSACTION_CREDIT"
"07 May 2024 12:12:00","1800","9","412893576250","TRANSACTION_CREDIT"
"07 May 2024 12:11:58","2000","10","412827782711","TRANSACTION_CREDIT"
"07 May 2024 12:11:40","500","2.5","412809293581","TRANSACTION_CREDIT"
"07 May 2024 12:09:49","5000","25","412805501495","TRANSACTION_CREDIT"
"07 May 2024 12:08:47","500","2.5","412862876892","TRANSACTION_CREDIT"
"07 May 2024 12:08:05","1000","5","412898804997","TRANSACTION_CREDIT"
"07 May 2024 12:04:00","5000","25","412870344659","TRANSACTION_CREDIT"
"07 May 2024 12:03:04","1000","5","412836895195","TRANSACTION_CREDIT"
"07 May 2024 11:54:51","1000","5","412805064004","TRANSACTION_CREDIT"
"07 May 2024 11:53:19","1300","6.5","412882733379","TRANSACTION_CREDIT"
"07 May 2024 11:52:50","15000","75","412852865175","TRANSACTION_CREDIT"
"07 May 2024 11:52:43","500","2.5","412824926280","TRANSACTION_CREDIT"
"07 May 2024 11:51:19","1500","7.5","412846823935","TRANSACTION_CREDIT"
"07 May 2024 11:49:55","600","3","412826973146","TRANSACTION_CREDIT"
"07 May 2024 11:48:38","1000","5","412817311825","TRANSACTION_CREDIT"
"07 May 2024 11:45:52","1000","5","412818529609","TRANSACTION_CREDIT"
"07 May 2024 11:44:35","2000","10","412814642818","TRANSACTION_CREDIT"
"07 May 2024 11:44:26","2000","10","412817073129","TRANSACTION_CREDIT"
"07 May 2024 11:38:58","2500","12.5","412816873553","TRANSACTION_CREDIT"
"07 May 2024 11:35:50","600","3","412829022378","TRANSACTION_CREDIT"
"07 May 2024 11:33:21","19000","95","412816668930","TRANSACTION_CREDIT"
"07 May 2024 11:28:20","10000","50","412830838537","TRANSACTION_CREDIT"
"07 May 2024 11:28:03","500","2.5","412832754948","TRANSACTION_CREDIT"
"07 May 2024 11:26:22","4600","23","412830763344","TRANSACTION_CREDIT"
"07 May 2024 11:14:20","500","2.5","412803698358","TRANSACTION_CREDIT"
"07 May 2024 10:59:48","10000","50","412824663363","TRANSACTION_CREDIT"
"07 May 2024 10:44:13","850","4.25","412824074064","TRANSACTION_CREDIT"
"07 May 2024 10:36:52","2000","10","412814622837","TRANSACTION_CREDIT"
"07 May 2024 10:31:05","1000","5","412806222413","TRANSACTION_CREDIT"
"07 May 2024 10:25:11","500","2.5","412865838894","TRANSACTION_CREDIT"
"07 May 2024 10:25:02","2000","10","412814817984","TRANSACTION_CREDIT"
"07 May 2024 10:18:56","10000","50","412823143653","TRANSACTION_CREDIT"
"07 May 2024 10:10:11","1000","5","412813302058","TRANSACTION_CREDIT"
"07 May 2024 09:56:23","5500","27.5","412826372752","TRANSACTION_CREDIT"
"07 May 2024 09:56:23","2000","10","412824794671","TRANSACTION_CREDIT"
"07 May 2024 09:55:13","500","2.5","412861223268","TRANSACTION_CREDIT"
"07 May 2024 09:40:36","10000","50","412821808337","TRANSACTION_CREDIT"
"07 May 2024 09:33:03","1500","7.5","412840176029","TRANSACTION_CREDIT"
"07 May 2024 07:51:47","5000","25","412818888871","TRANSACTION_CREDIT"
